-0.164527	1.068835	0.153561	-0.068568	-0.132557	-0.317347	-0.197199	-0.348630	-0.042572	-0.018540	
-0.066143	0.134504	-0.058770	0.036485	-0.049775	-0.046216	-0.050345	-0.078969	0.359872	0.050659	
-0.179462	-0.241244	-0.788728	0.336723	-0.048397	0.013223	0.005411	-0.036660	0.570503	-0.388903	
-0.170805	0.583068	-0.930564	0.244560	-0.058562	-0.036907	-0.020785	-0.139676	0.577270	-0.617690	
-0.105938	0.973126	-0.239353	0.159523	-0.076564	-0.091168	-0.042564	-0.151527	0.170226	-0.623926	
-0.255324	0.520117	-0.085743	0.414851	-0.081127	-0.106193	-0.063277	-0.074626	0.369130	-0.111024	
-0.196679	0.244864	-0.407125	0.164584	-0.076746	-0.097350	-0.046897	-0.106145	0.245805	-0.201285	
-0.190042	-0.008553	-0.811298	0.009743	-0.072770	-0.092999	-0.036191	-0.138683	0.636339	-0.335197	
-0.209773	0.411670	-0.609678	0.546315	-0.071541	-0.079450	-0.054897	-0.104799	0.184712	-0.501844	
-0.143347	0.628341	-0.233543	0.770002	-0.071646	-0.112227	-0.056979	-0.093007	0.504229	-0.408757	
-0.079058	0.626566	-0.103454	0.682946	-0.072596	-0.108904	-0.057884	-0.089280	0.244666	-0.381028	
-0.121357	0.536959	-0.292766	-0.059010	-0.072982	-0.105446	-0.052555	-0.082243	0.122794	-0.386933	
-0.184035	0.316775	-0.529891	0.315574	-0.072885	-0.097016	-0.045308	-0.109298	0.229733	-0.352686	
-0.168442	0.310049	-0.485712	0.557061	-0.072642	-0.103337	-0.044106	-0.111794	0.068275	-0.342268	
-0.088704	0.208527	-0.466422	0.390184	-0.072671	-0.120454	-0.058453	-0.120984	0.334060	-0.387010	
-0.119554	0.415207	-0.540640	0.030346	-0.072734	-0.093258	-0.061107	-0.106680	0.108080	-0.406070	
-0.248360	0.629026	-0.520565	0.462815	-0.072740	-0.079969	-0.055062	-0.110189	-0.051743	-0.376754	
-0.333649	0.496181	-0.407537	0.264429	-0.072727	-0.099726	-0.050317	-0.120037	-0.036524	-0.367548	
-0.355043	0.285797	-0.206595	0.436396	-0.072721	-0.108551	-0.048824	-0.133144	0.662944	-0.143594	
-0.215616	0.194416	-0.678896	0.512381	-0.072723	-0.082994	-0.045863	-0.094817	0.797910	-0.342249	
-0.202735	0.612456	-0.399618	0.530423	-0.072725	-0.097709	-0.042218	-0.092626	0.787302	-0.411970	
-0.260654	0.757473	-0.435915	0.454132	-0.072726	-0.089742	-0.059567	-0.102523	0.570655	-0.533186	
-0.217550	0.868988	-0.258709	0.194338	-0.072727	-0.086106	-0.070427	-0.102938	-0.046387	-0.303886	
-0.196203	0.123645	-0.680680	0.069122	-0.072726	-0.079640	-0.045416	-0.093736	0.012175	-0.224893	
-0.317248	0.226117	-0.563194	0.166577	-0.072725	-0.089753	-0.052906	-0.109380	0.405893	-0.354343	
